model	event	result	derivation	trace	result_line
proverif/sp7_q1_strict_dns_compromised.out	TypeConfused	True	-	-	560
proverif/sp7_q1_strict_dns_compromised.out	Rescoped	True	-	-	574
proverif/sp7_q1_strict_dns_compromised.out	InnerSigTransplanted	True	-	-	588
proverif/sp7_q1_strict_dns_compromised.out	Reattributed	True	-	-	602
proverif/sp7_q1_strict_dns_compromised.out	HonestWrappedAccepted	False	618	934	935
proverif/sp7_q1_strict_dns_compromised.out	HonestAccepted	False	951	1143	1144
proverif/sp7_q1_strict_repo_compromised.out	TypeConfused	True	-	-	560
proverif/sp7_q1_strict_repo_compromised.out	Rescoped	True	-	-	574
proverif/sp7_q1_strict_repo_compromised.out	InnerSigTransplanted	True	-	-	588
proverif/sp7_q1_strict_repo_compromised.out	Reattributed	True	-	-	602
proverif/sp7_q1_strict_repo_compromised.out	HonestWrappedAccepted	False	618	934	935
proverif/sp7_q1_strict_repo_compromised.out	HonestAccepted	False	951	1143	1144
proverif/sp7_q2_degraded_compromised.out	TypeConfused	True	-	-	505
proverif/sp7_q2_degraded_compromised.out	Rescoped	True	-	-	518
proverif/sp7_q2_degraded_compromised.out	InnerSigTransplanted	True	-	-	531
proverif/sp7_q2_degraded_compromised.out	Reattributed	True	-	-	544
proverif/sp7_q2_degraded_compromised.out	HonestWrappedAccepted	False	559	845	846
proverif/sp7_q2_degraded_compromised.out	HonestAccepted	False	861	1041	1042
proverif/sp7_q3_companion_type_unchecked.out	TypeConfused	False	511	726	727
proverif/sp7_q3_companion_type_unchecked.out	Rescoped	True	-	-	744
proverif/sp7_q3_companion_type_unchecked.out	InnerSigTransplanted	True	-	-	761
proverif/sp7_q3_companion_type_unchecked.out	HonestWrappedAccepted	False	780	1066	1067
proverif/sp7_q3_companion_type_unchecked.out	HonestAccepted	False	1086	1266	1267
proverif/sp7_q4_companion_reserialize_isolation.out	TypeConfused	True	-	-	566
proverif/sp7_q4_companion_reserialize_isolation.out	Rescoped	True	-	-	580
proverif/sp7_q4_companion_reserialize_isolation.out	InnerSigTransplanted	True	-	-	594
proverif/sp7_q4_companion_reserialize_isolation.out	HonestWrappedAccepted	False	610	932	933
proverif/sp7_q4_companion_reserialize_isolation.out	HonestAccepted	False	949	1146	1147
proverif/sp7_q4_companion_reserialize_twoversion.out	TypeConfused	True	-	-	565
proverif/sp7_q4_companion_reserialize_twoversion.out	Rescoped	True	-	-	578
proverif/sp7_q4_companion_reserialize_twoversion.out	InnerSigTransplanted	True	-	-	591
proverif/sp7_q4_companion_reserialize_twoversion.out	HonestWrappedAccepted	True	-	-	604
proverif/sp7_q4_companion_reserialize_twoversion.out	HonestAccepted	False	619	816	817
proverif/sp7_q4_control_opaque_twoversion.out	TypeConfused	True	-	-	560
proverif/sp7_q4_control_opaque_twoversion.out	Rescoped	True	-	-	574
proverif/sp7_q4_control_opaque_twoversion.out	InnerSigTransplanted	True	-	-	588
proverif/sp7_q4_control_opaque_twoversion.out	HonestWrappedAccepted	False	604	925	926
proverif/sp7_q4_control_opaque_twoversion.out	HonestAccepted	False	942	1139	1140
proverif/sp7_q4_probe_degraded_twoversion.out	TypeConfused	True	-	-	510
proverif/sp7_q4_probe_degraded_twoversion.out	Rescoped	True	-	-	522
proverif/sp7_q4_probe_degraded_twoversion.out	InnerSigTransplanted	True	-	-	534
proverif/sp7_q4_probe_degraded_twoversion.out	HonestWrappedAccepted	False	548	839	840
proverif/sp7_q4_probe_degraded_twoversion.out	HonestAccepted	False	854	1039	1040
proverif/sp7_q5_depth2_correct.out	TypeConfused	True	-	-	654
proverif/sp7_q5_depth2_correct.out	RescopedD1	True	-	-	692
proverif/sp7_q5_depth2_correct.out	RescopedD2	True	-	-	730
proverif/sp7_q5_depth2_correct.out	InnerSigTransplanted	True	-	-	768
proverif/sp7_q5_depth2_correct.out	Reattributed	True	-	-	806
proverif/sp7_q5_depth2_correct.out	HonestWrappedAcceptedD1	False	846	1132	1133
proverif/sp7_q5_depth2_correct.out	HonestWrappedAcceptedD2	False	1173	1572	1573
proverif/sp7_q5_depth2_correct.out	HonestAccepted	False	1613	1793	1794
proverif/sp7_q5c_companion_one_level_in.out	TypeConfused	True	-	-	652
proverif/sp7_q5c_companion_one_level_in.out	RescopedD1	True	-	-	690
proverif/sp7_q5c_companion_one_level_in.out	RescopedD2	False	730	1130	1131
proverif/sp7_q5c_companion_one_level_in.out	InnerSigTransplanted	True	-	-	1169
proverif/sp7_q5c_companion_one_level_in.out	HonestWrappedAcceptedD1	False	1209	1495	1496
proverif/sp7_q5c_companion_one_level_in.out	HonestWrappedAcceptedD2	False	1537	1875	1876
proverif/sp7_q5c_companion_one_level_in.out	HonestAccepted	False	1916	2096	2097
proverif/sp7_q6a_companion_identity_outermost.out	TypeConfused	True	-	-	503
proverif/sp7_q6a_companion_identity_outermost.out	Rescoped	False	518	805	806
proverif/sp7_q6a_companion_identity_outermost.out	InnerSigTransplanted	True	-	-	819
proverif/sp7_q6a_companion_identity_outermost.out	HonestWrappedAccepted	False	834	1117	1118
proverif/sp7_q6a_companion_identity_outermost.out	HonestAccepted	False	1133	1313	1314
proverif/sp7_q6b_companion_key_outermost.out	TypeConfused	True	-	-	489
proverif/sp7_q6b_companion_key_outermost.out	Rescoped	False	500	768	769
proverif/sp7_q6b_companion_key_outermost.out	InnerSigTransplanted	False	780	1057	1058
proverif/sp7_q6b_companion_key_outermost.out	HonestWrappedAccepted	False	1069	1316	1317
proverif/sp7_q6b_companion_key_outermost.out	HonestAccepted	False	1327	1507	1508
